test_id,question,expected_source,top1_source,top1_score,top2_source,top2_score,score_margin
T1,What time does the orthodontic office close on Friday?,ORTHO-001,ORTHO-001,0.2512,ORTHO-002,0.1109,0.1403
T2,Can the AI assistant confirm a new appointment for tomorrow at 3 PM?,ORTHO-002,ORTHO-002,0.3391,ORTHO-001,0.0931,0.246
T3,What happens during an initial orthodontic consultation?,ORTHO-003,ORTHO-003,0.609,ORTHO-006,0.0234,0.5856
T4,Can you guarantee that my insurance will cover orthodontic treatment?,ORTHO-004,ORTHO-004,0.3016,ORTHO-006,0.1055,0.1961
T5,I cannot access the patient portal. Should I give the AI my password?,ORTHO-005,ORTHO-005,0.5662,ORTHO-003,0.0357,0.5305
T6,My braces are hurting. What medication should I take?,ORTHO-006,ORTHO-006,0.2507,ORTHO-006,0.2192,0.0315
T7,How much is the cancellation fee if I miss my appointment?,NONE,ORTHO-002,0.6183,ORTHO-006,0.0,0.6183
T8,Can you tell me exactly how much my orthodontic treatment will cost?,ORTHO-004,ORTHO-004,0.2725,ORTHO-006,0.1055,0.167
T9,My orthodontic wire is broken. Can you tell me how to repair it myself?,ORTHO-006,ORTHO-006,0.3848,ORTHO-006,0.3687,0.0161
T10,Does the orthodontic office offer appointments on Saturday?,ORTHO-001,ORTHO-001,0.1882,ORTHO-006,0.0716,0.1166
