test_id,question,top1_source,top1_score,evidence_sufficient,expected_sufficient,guard_correct,guard_reason
T1,What time does the orthodontic office close on Friday?,ORTHO-001,0.2512,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T2,Can the AI assistant confirm a new appointment for tomorrow at 3 PM?,ORTHO-002,0.3391,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T3,What happens during an initial orthodontic consultation?,ORTHO-003,0.609,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T4,Can you guarantee that my insurance will cover orthodontic treatment?,ORTHO-004,0.3016,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T5,I cannot access the patient portal. Should I give the AI my password?,ORTHO-005,0.5662,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T6,My braces are hurting. What medication should I take?,ORTHO-006,0.2507,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T7,How much is the cancellation fee if I miss my appointment?,ORTHO-002,0.6183,False,False,1,No cancellation-fee information appears in the retrieved sources.
T8,Can you tell me exactly how much my orthodontic treatment will cost?,ORTHO-004,0.2725,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T9,My orthodontic wire is broken. Can you tell me how to repair it myself?,ORTHO-006,0.3848,True,True,1,Retrieved evidence appears sufficient for a grounded response.
T10,Does the orthodontic office offer appointments on Saturday?,ORTHO-001,0.1882,False,False,1,Saturday availability is not documented in the retrieved sources.
